Current i(seed) in script: 1
The number of training patients: 369
The number of testing patients: 125
Multi gpu status: True
[Val] Avg. edema: 0.10
[Val] Avg. tumor_core: 0.00
[Val] Avg. enhancing: 0.00
[Val] Avg. Loss: 0.89

# Epoch 1 #

[Train] Avg. edema: 0.23
[Train] Avg. tumor_core: 0.07
[Train] Avg. enhancing: 0.04
[Train] Avg. Loss: 0.78
[Val] Avg. edema: 0.27
[Val] Avg. tumor_core: 0.08
[Val] Avg. enhancing: 0.06
[Val] Avg. Loss: 0.70

# Epoch 2 #

[Train] Avg. edema: 0.50
[Train] Avg. tumor_core: 0.24
[Train] Avg. enhancing: 0.44
[Train] Avg. Loss: 0.64
[Val] Avg. edema: 0.86
[Val] Avg. tumor_core: 0.66
[Val] Avg. enhancing: 0.71
[Val] Avg. Loss: 0.56

# Epoch 3 #

[Train] Avg. edema: 0.77
[Train] Avg. tumor_core: 0.61
[Train] Avg. enhancing: 0.62
[Train] Avg. Loss: 0.46
[Val] Avg. edema: 0.83
[Val] Avg. tumor_core: 0.61
[Val] Avg. enhancing: 0.59
[Val] Avg. Loss: 0.45

# Epoch 4 #

[Train] Avg. edema: 0.80
[Train] Avg. tumor_core: 0.69
[Train] Avg. enhancing: 0.70
[Train] Avg. Loss: 0.31
[Val] Avg. edema: 0.86
[Val] Avg. tumor_core: 0.75
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.25

# Epoch 5 #

[Train] Avg. edema: 0.82
[Train] Avg. tumor_core: 0.71
[Train] Avg. enhancing: 0.71
[Train] Avg. Loss: 0.28
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.78
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.22

# Epoch 6 #

[Train] Avg. edema: 0.85
[Train] Avg. tumor_core: 0.78
[Train] Avg. enhancing: 0.74
[Train] Avg. Loss: 0.24
[Val] Avg. edema: 0.86
[Val] Avg. tumor_core: 0.78
[Val] Avg. enhancing: 0.76
[Val] Avg. Loss: 0.23

# Epoch 7 #

[Train] Avg. edema: 0.83
[Train] Avg. tumor_core: 0.74
[Train] Avg. enhancing: 0.73
[Train] Avg. Loss: 0.26
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.22

# Epoch 8 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.78
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.23
[Val] Avg. edema: 0.87
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.21

# Epoch 9 #

[Train] Avg. edema: 0.82
[Train] Avg. tumor_core: 0.75
[Train] Avg. enhancing: 0.73
[Train] Avg. Loss: 0.26
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.78
[Val] Avg. enhancing: 0.74
[Val] Avg. Loss: 0.22

# Epoch 10 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.79
[Train] Avg. enhancing: 0.75
[Train] Avg. Loss: 0.22
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.80
[Val] Avg. enhancing: 0.75
[Val] Avg. Loss: 0.22

# Epoch 11 #

[Train] Avg. edema: 0.83
[Train] Avg. tumor_core: 0.75
[Train] Avg. enhancing: 0.76
[Train] Avg. Loss: 0.24
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.75
[Val] Avg. Loss: 0.20

# Epoch 12 #

[Train] Avg. edema: 0.86
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.77
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.21

# Epoch 13 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.88
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.20

# Epoch 14 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.78
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.78
[Val] Avg. Loss: 0.22

# Epoch 15 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.80
[Train] Avg. enhancing: 0.77
[Train] Avg. Loss: 0.21
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.19

# Epoch 16 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.84
[Val] Avg. enhancing: 0.81
[Val] Avg. Loss: 0.18

# Epoch 17 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.81
[Train] Avg. enhancing: 0.80
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.76
[Val] Avg. enhancing: 0.77
[Val] Avg. Loss: 0.22

# Epoch 18 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.79
[Train] Avg. enhancing: 0.78
[Train] Avg. Loss: 0.22
[Val] Avg. edema: 0.89
[Val] Avg. tumor_core: 0.81
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.19

# Epoch 19 #

[Train] Avg. edema: 0.87
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.20
[Val] Avg. edema: 0.90
[Val] Avg. tumor_core: 0.79
[Val] Avg. enhancing: 0.79
[Val] Avg. Loss: 0.21

# Epoch 20 #

[Train] Avg. edema: 0.88
[Train] Avg. tumor_core: 0.82
[Train] Avg. enhancing: 0.79
[Train] Avg. Loss: 0.19
[Val] Avg. edema: 0.91
[Val] Avg. tumor_core: 0.82
[Val] Avg. enhancing: 0.80
[Val] Avg. Loss: 0.19

# Epoch 21 #

[Train] Avg. edema: 0.88
